worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":114,"unmatched":203,"nonMadrid":0,"invalid":0,"responseBytes":22779,"responseDurationMs":103,"timestamp":"2026-08-20T06:40:26.290Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":114,"unmatched":197,"nonMadrid":0,"invalid":0,"responseBytes":26878,"responseDurationMs":9,"timestamp":"2026-08-20T06:40:26.521Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":75,"invalid":0,"responseBytes":61020,"responseDurationMs":7,"timestamp":"2026-08-20T06:40:28.491Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":205,"nonMadrid":0,"invalid":0,"responseBytes":14606,"responseDurationMs":39,"timestamp":"2026-08-20T06:40:56.438Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":0,"unmatched":199,"nonMadrid":0,"invalid":0,"responseBytes":16898,"responseDurationMs":8,"timestamp":"2026-08-20T06:40:56.845Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":115,"unmatched":200,"nonMadrid":0,"invalid":0,"responseBytes":22603,"responseDurationMs":38,"timestamp":"2026-08-20T06:41:26.699Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":115,"unmatched":195,"nonMadrid":0,"invalid":0,"responseBytes":26791,"responseDurationMs":8,"timestamp":"2026-08-20T06:41:27.442Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":77,"invalid":0,"responseBytes":65305,"responseDurationMs":7,"timestamp":"2026-08-20T06:41:29.376Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":112,"unmatched":205,"nonMadrid":0,"invalid":0,"responseBytes":22785,"responseDurationMs":40,"timestamp":"2026-08-20T06:41:56.814Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":112,"unmatched":200,"nonMadrid":0,"invalid":0,"responseBytes":27128,"responseDurationMs":10,"timestamp":"2026-08-20T06:41:57.498Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"trip_updates","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":116,"unmatched":202,"nonMadrid":0,"invalid":0,"responseBytes":22865,"responseDurationMs":39,"timestamp":"2026-08-20T06:42:26.634Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"vehicle_positions","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":116,"unmatched":197,"nonMadrid":0,"invalid":0,"responseBytes":27154,"responseDurationMs":6,"timestamp":"2026-08-20T06:42:27.284Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
worker-1  | {"feedKind":"service_alerts","resultClass":"success","durable":true,"postgres":true,"matchedMadrid":11,"unmatched":0,"nonMadrid":77,"invalid":0,"responseBytes":65305,"responseDurationMs":9,"timestamp":"2026-08-20T06:42:29.219Z","level":"info","service":"atodotren-worker","event":"ingest.poll","message":"Realtime feed poll completed"}
